session;method;gender;emotion;n_annotators;agreement;path
1;impro;M;exc;4;2;Session1/sentences/wav/Ses01M_impro07/Ses01M_impro07_F008.wav
1;impro;M;exc;4;2;Session1/sentences/wav/Ses01M_impro07/Ses01M_impro07_F011.wav
1;impro;M;exc;4;2;Session1/sentences/wav/Ses01M_impro07/Ses01M_impro07_F013.wav
1;impro;M;exc;4;2;Session1/sentences/wav/Ses01M_impro07/Ses01M_impro07_F014.wav
1;impro;M;exc;4;2;Session1/sentences/wav/Ses01M_impro07/Ses01M_impro07_F016.wav
1;impro;M;exc;4;2;Session1/sentences/wav/Ses01M_impro07/Ses01M_impro07_F021.wav
1;impro;M;exc;4;2;Session1/sentences/wav/Ses01M_impro07/Ses01M_impro07_F023.wav
1;impro;M;exc;4;2;Session1/sentences/wav/Ses01M_impro07/Ses01M_impro07_F024.wav
1;impro;M;exc;4;2;Session1/sentences/wav/Ses01M_impro07/Ses01M_impro07_F025.wav
1;impro;M;exc;4;2;Session1/sentences/wav/Ses01M_impro07/Ses01M_impro07_F027.wav
1;impro;M;exc;4;2;Session1/sentences/wav/Ses01M_impro07/Ses01M_impro07_M009.wav
1;impro;M;exc;4;2;Session1/sentences/wav/Ses01M_impro07/Ses01M_impro07_M018.wav
1;impro;F;exc;4;2;Session1/sentences/wav/Ses01F_impro07/Ses01F_impro07_F004.wav
1;impro;F;exc;4;2;Session1/sentences/wav/Ses01F_impro07/Ses01F_impro07_M008.wav
1;impro;F;exc;4;2;Session1/sentences/wav/Ses01F_impro07/Ses01F_impro07_M009.wav
1;impro;F;exc;4;2;Session1/sentences/wav/Ses01F_impro07/Ses01F_impro07_M014.wav
1;impro;M;exc;4;2;Session1/sentences/wav/Ses01M_impro03/Ses01M_impro03_F002.wav
1;impro;M;exc;4;2;Session1/sentences/wav/Ses01M_impro03/Ses01M_impro03_F004.wav
1;impro;M;exc;4;2;Session1/sentences/wav/Ses01M_impro03/Ses01M_impro03_F009.wav
1;impro;M;exc;4;2;Session1/sentences/wav/Ses01M_impro03/Ses01M_impro03_F012.wav
1;impro;M;exc;4;2;Session1/sentences/wav/Ses01M_impro03/Ses01M_impro03_F016.wav
1;impro;M;exc;4;2;Session1/sentences/wav/Ses01M_impro03/Ses01M_impro03_F020.wav
1;impro;M;exc;4;2;Session1/sentences/wav/Ses01M_impro03/Ses01M_impro03_M000.wav
1;impro;M;exc;4;2;Session1/sentences/wav/Ses01M_impro03/Ses01M_impro03_M001.wav
1;impro;M;exc;4;2;Session1/sentences/wav/Ses01M_impro03/Ses01M_impro03_M004.wav
1;impro;M;exc;4;2;Session1/sentences/wav/Ses01M_impro03/Ses01M_impro03_M013.wav
1;impro;M;exc;4;2;Session1/sentences/wav/Ses01M_impro03/Ses01M_impro03_M015.wav
1;impro;M;exc;4;2;Session1/sentences/wav/Ses01M_impro03/Ses01M_impro03_M017.wav
1;impro;M;exc;4;2;Session1/sentences/wav/Ses01M_impro03/Ses01M_impro03_M023.wav
1;impro;M;exc;4;2;Session1/sentences/wav/Ses01M_impro03/Ses01M_impro03_M024.wav
2;impro;M;exc;4;2;Session2/sentences/wav/Ses02M_impro08/Ses02M_impro08_F001.wav
2;impro;M;exc;4;2;Session2/sentences/wav/Ses02M_impro08/Ses02M_impro08_F002.wav
2;impro;F;exc;4;2;Session2/sentences/wav/Ses02F_impro07/Ses02F_impro07_F014.wav
2;impro;F;exc;4;2;Session2/sentences/wav/Ses02F_impro07/Ses02F_impro07_F015.wav
2;impro;F;exc;4;2;Session2/sentences/wav/Ses02F_impro07/Ses02F_impro07_F016.wav
2;impro;F;exc;4;2;Session2/sentences/wav/Ses02F_impro07/Ses02F_impro07_F017.wav
2;impro;F;exc;4;2;Session2/sentences/wav/Ses02F_impro07/Ses02F_impro07_F022.wav
2;impro;F;exc;4;2;Session2/sentences/wav/Ses02F_impro07/Ses02F_impro07_F023.wav
2;impro;F;exc;4;2;Session2/sentences/wav/Ses02F_impro07/Ses02F_impro07_F024.wav
2;impro;F;exc;4;2;Session2/sentences/wav/Ses02F_impro07/Ses02F_impro07_F025.wav
2;impro;F;exc;4;2;Session2/sentences/wav/Ses02F_impro07/Ses02F_impro07_F027.wav
2;impro;F;exc;4;2;Session2/sentences/wav/Ses02F_impro07/Ses02F_impro07_F028.wav
2;impro;F;exc;4;2;Session2/sentences/wav/Ses02F_impro07/Ses02F_impro07_F031.wav
2;impro;F;exc;4;2;Session2/sentences/wav/Ses02F_impro07/Ses02F_impro07_F032.wav
2;impro;F;exc;4;2;Session2/sentences/wav/Ses02F_impro07/Ses02F_impro07_F034.wav
2;impro;M;exc;4;2;Session2/sentences/wav/Ses02M_impro07/Ses02M_impro07_F000.wav
2;impro;M;exc;4;2;Session2/sentences/wav/Ses02M_impro07/Ses02M_impro07_F001.wav
2;impro;M;exc;4;2;Session2/sentences/wav/Ses02M_impro07/Ses02M_impro07_F009.wav
2;impro;M;exc;4;2;Session2/sentences/wav/Ses02M_impro07/Ses02M_impro07_F012.wav
