session;method;gender;emotion;n_annotators;agreement;path
1;impro;F;neu;4;2;Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_F009.wav
1;impro;F;neu;4;2;Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_F013.wav
1;impro;F;neu;4;2;Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_F014.wav
1;impro;F;neu;4;2;Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_M007.wav
1;impro;M;neu;4;2;Session1/sentences/wav/Ses01M_impro06/Ses01M_impro06_F009.wav
1;impro;M;neu;4;2;Session1/sentences/wav/Ses01M_impro06/Ses01M_impro06_F010.wav
1;impro;M;neu;4;2;Session1/sentences/wav/Ses01M_impro06/Ses01M_impro06_F011.wav
1;impro;M;neu;4;2;Session1/sentences/wav/Ses01M_impro07/Ses01M_impro07_F000.wav
1;impro;M;neu;4;2;Session1/sentences/wav/Ses01M_impro07/Ses01M_impro07_F010.wav
1;impro;M;neu;4;2;Session1/sentences/wav/Ses01M_impro07/Ses01M_impro07_F012.wav
1;impro;F;neu;4;2;Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_F003.wav
1;impro;F;neu;4;2;Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_F006.wav
1;impro;F;neu;4;2;Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_F016.wav
1;impro;F;neu;4;2;Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_F018.wav
1;impro;F;neu;4;2;Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_M012.wav
1;impro;F;neu;4;2;Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_M015.wav
1;impro;F;neu;4;2;Session1/sentences/wav/Ses01F_impro06/Ses01F_impro06_F019.wav
1;impro;F;neu;4;2;Session1/sentences/wav/Ses01F_impro06/Ses01F_impro06_M001.wav
1;impro;F;neu;4;2;Session1/sentences/wav/Ses01F_impro06/Ses01F_impro06_M002.wav
1;impro;F;neu;4;2;Session1/sentences/wav/Ses01F_impro06/Ses01F_impro06_M015.wav
1;impro;M;neu;4;2;Session1/sentences/wav/Ses01M_impro03/Ses01M_impro03_F017.wav
1;impro;M;neu;4;2;Session1/sentences/wav/Ses01M_impro03/Ses01M_impro03_F021.wav
1;impro;M;neu;4;2;Session1/sentences/wav/Ses01M_impro03/Ses01M_impro03_M006.wav
1;impro;M;neu;4;2;Session1/sentences/wav/Ses01M_impro01/Ses01M_impro01_F025.wav
1;impro;M;neu;4;2;Session1/sentences/wav/Ses01M_impro01/Ses01M_impro01_M003.wav
1;impro;M;neu;4;2;Session1/sentences/wav/Ses01M_impro01/Ses01M_impro01_M010.wav
1;impro;F;neu;4;2;Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_F017.wav
1;impro;F;neu;4;2;Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_F018.wav
1;impro;F;neu;4;2;Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_F019.wav
1;impro;F;neu;4;2;Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_F023.wav
1;impro;F;neu;4;2;Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_M000.wav
1;impro;F;neu;4;2;Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_M001.wav
1;impro;F;neu;4;2;Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_M006.wav
1;impro;F;neu;4;2;Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_F014.wav
1;impro;F;neu;4;2;Session1/sentences/wav/Ses01F_impro05/Ses01F_impro05_M000.wav
1;impro;M;neu;4;2;Session1/sentences/wav/Ses01M_impro04/Ses01M_impro04_F023.wav
1;impro;M;neu;4;2;Session1/sentences/wav/Ses01M_impro02/Ses01M_impro02_M000.wav
1;impro;M;neu;4;2;Session1/sentences/wav/Ses01M_impro05/Ses01M_impro05_M015.wav
2;impro;M;neu;4;2;Session2/sentences/wav/Ses02M_impro04/Ses02M_impro04_F000.wav
2;impro;M;neu;4;2;Session2/sentences/wav/Ses02M_impro04/Ses02M_impro04_F001.wav
2;impro;M;neu;4;2;Session2/sentences/wav/Ses02M_impro04/Ses02M_impro04_F003.wav
2;impro;M;neu;4;2;Session2/sentences/wav/Ses02M_impro04/Ses02M_impro04_F004.wav
2;impro;M;neu;4;2;Session2/sentences/wav/Ses02M_impro04/Ses02M_impro04_F005.wav
2;impro;M;neu;4;2;Session2/sentences/wav/Ses02M_impro04/Ses02M_impro04_F006.wav
2;impro;M;neu;4;2;Session2/sentences/wav/Ses02M_impro04/Ses02M_impro04_F008.wav
2;impro;M;neu;4;2;Session2/sentences/wav/Ses02M_impro04/Ses02M_impro04_F012.wav
2;impro;M;neu;4;2;Session2/sentences/wav/Ses02M_impro04/Ses02M_impro04_F014.wav
2;impro;M;neu;4;2;Session2/sentences/wav/Ses02M_impro04/Ses02M_impro04_F016.wav
2;impro;M;neu;4;2;Session2/sentences/wav/Ses02M_impro08/Ses02M_impro08_F007.wav
2;impro;M;neu;4;2;Session2/sentences/wav/Ses02M_impro08/Ses02M_impro08_F008.wav
2;impro;M;neu;4;2;Session2/sentences/wav/Ses02M_impro08/Ses02M_impro08_F010.wav
2;impro;M;neu;4;2;Session2/sentences/wav/Ses02M_impro08/Ses02M_impro08_F019.wav
2;impro;M;neu;4;2;Session2/sentences/wav/Ses02M_impro05/Ses02M_impro05_F020.wav
2;impro;M;neu;4;2;Session2/sentences/wav/Ses02M_impro05/Ses02M_impro05_F021.wav
2;impro;M;neu;4;2;Session2/sentences/wav/Ses02M_impro01/Ses02M_impro01_F006.wav
2;impro;M;neu;4;2;Session2/sentences/wav/Ses02M_impro01/Ses02M_impro01_F015.wav
2;impro;M;neu;4;2;Session2/sentences/wav/Ses02M_impro01/Ses02M_impro01_F016.wav
2;impro;F;neu;4;2;Session2/sentences/wav/Ses02F_impro05/Ses02F_impro05_F004.wav
2;impro;F;neu;4;2;Session2/sentences/wav/Ses02F_impro08/Ses02F_impro08_F008.wav
2;impro;F;neu;4;2;Session2/sentences/wav/Ses02F_impro08/Ses02F_impro08_F010.wav
2;impro;F;neu;4;2;Session2/sentences/wav/Ses02F_impro08/Ses02F_impro08_F011.wav
2;impro;F;neu;4;2;Session2/sentences/wav/Ses02F_impro08/Ses02F_impro08_F012.wav
2;impro;F;neu;4;2;Session2/sentences/wav/Ses02F_impro08/Ses02F_impro08_F013.wav
2;impro;F;neu;4;2;Session2/sentences/wav/Ses02F_impro08/Ses02F_impro08_F015.wav
2;impro;F;neu;4;2;Session2/sentences/wav/Ses02F_impro08/Ses02F_impro08_F016.wav
2;impro;F;neu;4;2;Session2/sentences/wav/Ses02F_impro08/Ses02F_impro08_F017.wav
2;impro;F;neu;4;2;Session2/sentences/wav/Ses02F_impro08/Ses02F_impro08_F018.wav
2;impro;F;neu;4;2;Session2/sentences/wav/Ses02F_impro08/Ses02F_impro08_F025.wav
2;impro;F;neu;4;2;Session2/sentences/wav/Ses02F_impro08/Ses02F_impro08_F026.wav
2;impro;F;neu;4;2;Session2/sentences/wav/Ses02F_impro08/Ses02F_impro08_F027.wav
3;impro;M;neu;4;2;Session3/sentences/wav/Ses03M_impro02/Ses03M_impro02_M013.wav
3;impro;M;neu;4;2;Session3/sentences/wav/Ses03M_impro02/Ses03M_impro02_M015.wav
3;impro;F;neu;4;2;Session3/sentences/wav/Ses03F_impro02/Ses03F_impro02_F000.wav
3;impro;F;neu;4;2;Session3/sentences/wav/Ses03F_impro02/Ses03F_impro02_F001.wav
3;impro;M;neu;4;2;Session3/sentences/wav/Ses03M_impro07/Ses03M_impro07_F023.wav
3;impro;M;neu;4;2;Session3/sentences/wav/Ses03M_impro07/Ses03M_impro07_M009.wav
3;impro;M;neu;4;2;Session3/sentences/wav/Ses03M_impro05a/Ses03M_impro05a_F002.wav
3;impro;M;neu;4;2;Session3/sentences/wav/Ses03M_impro05a/Ses03M_impro05a_F011.wav
3;impro;M;neu;4;2;Session3/sentences/wav/Ses03M_impro05a/Ses03M_impro05a_F012.wav
3;impro;M;neu;4;2;Session3/sentences/wav/Ses03M_impro05a/Ses03M_impro05a_F014.wav
3;impro;M;neu;4;2;Session3/sentences/wav/Ses03M_impro05a/Ses03M_impro05a_F016.wav
3;impro;M;neu;4;2;Session3/sentences/wav/Ses03M_impro05a/Ses03M_impro05a_F023.wav
3;impro;M;neu;4;2;Session3/sentences/wav/Ses03M_impro05a/Ses03M_impro05a_F024.wav
3;impro;M;neu;4;2;Session3/sentences/wav/Ses03M_impro04/Ses03M_impro04_F003.wav
3;impro;M;neu;4;2;Session3/sentences/wav/Ses03M_impro04/Ses03M_impro04_F023.wav
3;impro;M;neu;4;2;Session3/sentences/wav/Ses03M_impro04/Ses03M_impro04_F025.wav
